id,lat,lng
b8752626740,40.419806699999995,-86.91620280000001
b8752626741,40.4192281,-86.91605089999999
b8752737642,40.4263198,-86.92156490000002
b8752737643,40.427040399999996,-86.92091389999999
b8752737644,40.4265383,-86.92056019999998
b71497486,40.42457086,-86.90778914
b71497488,40.4246957,-86.9077636125
b71497489,40.42481278823529,-86.90815332941179
b71497490,40.42364056666667,-86.90719483333334
b71497496,40.42447356,-86.90779166000002
b71497499,40.42335445,-86.90653858333333
b71497505,40.425129860000006,-86.90824746
b71497514,40.424214344444444,-86.90780172222222
b71497515,40.4251406,-86.90730624
b74144839,40.43333366470588,-86.91613049117647
b74151922,40.427868654166666,-86.91498863125003
b74340895,40.4300914918919,-86.91352732702704
b75498142,40.43270829,-86.91754523
b75498144,40.43190080526316,-86.91789158684212
b75498145,40.432408422222224,-86.91698617777777
b75498146,40.428241628125,-86.91442403125
b75498147,40.43251755,-86.9189808625
b75498148,40.43273036666667,-86.91835445555556
b75498205,40.426705982499996,-86.9173087875
b107141384,40.424574183333334,-86.90833526666667
b111471105,40.422638028571434,-86.9099614857143
b116427223,40.42380048,-86.90841457999998
b116427224,40.4244021576923,-86.9090062923077
b116427226,40.42428145,-86.90873616250002
b116427228,40.42258766,-86.9048239
b116427235,40.42238214,-86.90283633000001
b116427236,40.42374478888889,-86.90885384444445
b116427239,40.4241962375,-86.90727995
b116427240,40.42459941818181,-86.90738023636364
b116427242,40.421100155319145,-86.90385901063827
b116427243,40.423014071428575,-86.90328809999998
b116427244,40.4222144875,-86.9037070625
b116427245,40.42261250526317,-86.9033305631579
b116427249,40.424335799999994,-86.90843157777778
b116427250,40.42272771818182,-86.90544696363636
b116427251,40.42170782,-86.90486845333334
b116427257,40.42463542,-86.90819210000001
b116427259,40.421573685714286,-86.90225857142858
b116427262,40.4216409,-86.90262415714287
b116427263,40.42380813333333,-86.90764166666668
b117146480,40.42657423492065,-86.91192275873016
b117146481,40.430917375,-86.91524332916669
b117146482,40.42971078749999,-86.91600805833333
b117146483,40.42537777619048,-86.91065846428575
b117146484,40.42508393773584,-86.9127154
b117146486,40.43036395263158,-86.91613087894738
b117146487,40.42787312272727,-86.91107231363637
b117146488,40.42939161764704,-86.91548864117647
b117146489,40.42645093999999,-86.91309271600001
b117146490,40.42487337037039,-86.91119909012345
b117146492,40.428910870833334,-86.91482065416666
b117146493,40.42645251363637,-86.91093952272728
b117146495,40.43026313636362,-86.91474557878789
b117146497,40.42963658695652,-86.9139252
b117147167,40.42577331578948,-86.91524619473684
b117147168,40.426839395833326,-86.91630403750001
b117147170,40.42752728636362,-86.91233795454546
b117147171,40.42797919230769,-86.91619303076924
b117147172,40.42481710769231,-86.91635036923078
b117147173,40.42697067906977,-86.91502874418603
b117147176,40.42551086571428,-86.91603245714285
b117147177,40.426214883116884,-86.91578982207791
b117147178,40.424665806666674,-86.91533762666668
b117396581,40.422792680555546,-86.9106781888889
b117396585,40.422797977083334,-86.911650275
b117396586,40.42249455294117,-86.91299679411766
b117396587,40.421660276000004,-86.915472984
b117396588,40.42311968,-86.91511684999999
b117396592,40.42375328709677,-86.9126117516129
b117396593,40.423700081481485,-86.9099090148148
b117396594,40.42140725714285,-86.92013085714288
b117396596,40.42316550000001,-86.91878119999998
b117396597,40.42317882857143,-86.92067145
b117396598,40.42346648648649,-86.91690162972975
b117396599,40.422893470588235,-86.91994371764706
b117396601,40.422894685365854,-86.92094253414632
b117396603,40.42284074285715,-86.91653860714284
b117396610,40.4233710423077,-86.91443565384614
b117396612,40.42275247,-86.91414922000001
b117396614,40.423311960606064,-86.9181511090909
b117396615,40.422549630769225,-86.9176946923077
b117396616,40.42316984374999,-86.92121759999999
b117396617,40.42377502068966,-86.91344175862069
b117396619,40.423259313207545,-86.91547093584904
b117396620,40.42173951363636,-86.91441688636364
b117396621,40.424246849999996,-86.91005969
b117396622,40.42213690444444,-86.92103410000001
b117396623,40.42367051627907,-86.91088225581395
b117396624,40.42103844285714,-86.91444145510205
b117396625,40.424276692105266,-86.9095251631579
b117396626,40.421828590000004,-86.91073492000001
b117396629,40.42165482413793,-86.91662467586208
b128487952,40.42668844787234,-86.92666491914892
b128488694,40.42584254385964,-86.92500758070175
b128488695,40.426028011999996,-86.92072429999996
b128488696,40.42635279130435,-86.92329537173914
b128488697,40.42830236875001,-86.92324950312499
b128488698,40.42662732413791,-86.92093602482757
b128488700,40.43549247,-86.916706855
b128488701,40.432170936000006,-86.915907128
b128488702,40.434184089999995,-86.91669937499998
b128488703,40.428476052777775,-86.92248943750002
b128488704,40.4267586106383,-86.92499508510635
b158307858,40.42939532666667,-86.91263205333334
b158307860,40.42853515483871,-86.91202613225806
b158307862,40.42814049375001,-86.91283583124998
b158307900,40.424534017857134,-86.91266390357143
b158307901,40.425278,-86.91519735199999
b158307997,40.42526123548387,-86.90988499354839
b158619961,40.42701511904762,-86.92320575714285
b158620074,40.42751513793103,-86.91949467931032
b158620152,40.427685744444446,-86.92399904444443
